District,State,Total Population,Total Asian Alone,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,Chinese except Taiwanese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Other Asian not specified,Other Asian specified,Pakistani,Sri Lankan,Taiwanese,Thai,Two or more Asian,Vietnamese
Delegate District (at Large),District of Columbia,672391,25558,24.22,,,,,26,11.84,,,5.03,10.93,,,,,,,,,,,,,7.83
District (at Large),Alaska,738565,45604,,,,,,4.54,56.69,8.73,,3.35,10.63,,,,,,,,,,,,,
District (at Large),Delaware,943732,36553,42.28,,,,,23.78,10.9,,,,6.48,,,,,,,,,,,,,
District (at Large),Montana,1029862,7448,,,,,,23.47,21.63,,,,17.59,,,,,,,,,,,,,
District (at Large),North Dakota,745475,10197,,,,,,,21.62,,,,,,,,,,,,,,,,,
District (at Large),South Dakota,855444,11693,,,,18.4,,15.83,11.46,,,,9.27,,,,,,,,,,,,,
District (at Large),Vermont,624636,9680,16.94,,,,,25.43,,,,,,,,,,,,,,,,,,
District (at Large),Wyoming,583200,5102,,,,,,,28.66,,,,,,,,,,,,,,,,,
District 1,Alabama,702730,9981,,,,,,,,,,,,,,,,,,,,,,,,27.32
District 1,Arizona,741377,11912,11.4,,,,,20.15,22.47,,,,,,,,,,,,,,,,,
District 1,Arkansas,723743,3575,,,,,,,,,,,,,,,,,,,,,,,,
District 1,California,704958,19518,,,,,,14.4,14.22,27.41,,5.72,,,,,,,,,,,,,,
District 1,Colorado,802167,27543,12.29,,,,,19.12,6.87,,,6.16,8.31,,,,,,,,,,,,,24.51
District 1,Connecticut,715329,35877,46.11,,,,,14.11,5.3,,,,5.72,,,,,,,,,,,,,9.94
District 1,Florida,748579,18873,,,,,,9.3,32.9,,,6.57,11.65,,,,,,,,,,,,,20.34
District 1,Georgia,727997,12775,24.53,,,,,19.37,14.65,,,,,,,,,,,,,,,,,13.24
District 1,Hawaii,711225,356699,0.49,,,,,13.43,33.17,,,33.86,5.48,,,,,0.4,,,,,,0.34,8.98,2.83
District 1,Idaho,849292,10605,,,,,,32.82,18.43,,,12.38,,,,,,,,,,,,,,
District 1,Illinois,712456,13287,26.91,,,,,32.66,18.31,,,,7.78,,,,,,,,,,,,,
District 1,Indiana,716518,9499,27.48,,,,,18.49,23.1,,,,,,,,,,,,,,,,,
District 1,Iowa,770452,12013,22.29,,,13.77,,18.71,6.77,,,,13.74,,,,,,,,,,,,,
District 1,Kansas,712978,11755,,,,,,25.66,9.88,,,,10.18,,,,,,,,,,,,,19.12
District 1,Kentucky,721011,4231,,,,,,27.11,,,,,,,,,,,,,,,,,,
District 1,Louisiana,798345,17962,17.59,,,,,22.17,10.4,,,,,,,,,,,,,,,,,27.98
District 1,Maine,675074,10147,,,,,,21.67,13.37,,,,,,,,,,,,,,,,,
District 1,Maryland,729888,15474,25.51,,,,,15.9,17.73,,,,17.77,,,,,,,,,,,,,
District 1,Massachusetts,731327,14877,18.63,,,,,22.95,,,,,,,,,,,,,,,,,,14.86
District 1,Michigan,700228,4632,,,,,,26.64,13,,,,10.13,,,,,,,,,,,,,
District 1,Minnesota,670131,17809,12.29,,,,,18.75,,,,,8.52,12.35,,,,,,,,,,,,9.4
District 1,Mississippi,757425,5730,,,,,,,,,,,,,,,,,,,,,,,,
District 1,Missouri,736659,21874,25.82,,,,,26.46,9.07,,,,7.66,,,,,,,,,,,,,15.59
District 1,Nebraska,636147,16468,,,,,,18.03,,,,,7.98,,,,,,,,,,,,,35.72
District 1,Nevada,692075,58009,,,,,,16.41,53.19,,,3.89,5.28,,,,,,,,,,,,3.19,5.57
District 1,New Hampshire,670467,15972,23.95,,,,,15.79,12.2,,,,7.78,,,,,,,,,,,,,
District 1,New Jersey,730635,37620,29.42,,,,,17.28,17.01,,,,8.88,,,,,,,,,,,,,13.28
District 1,New Mexico,691746,16027,12.49,,,,,20.83,14.81,,,,,,,,,,,,,,,,,21.93
District 1,New York,721210,29711,22.8,,,,,31.45,12.31,,,,8.53,,,,,,,,,,,,,
District 1,North Carolina,750304,15042,27.04,,,,,30.04,,,,,,,,,,,,,,,,,,
District 1,Ohio,733390,24679,42.52,,,,,20.29,,,,,,,,,,,,,,,,,,
District 1,Oklahoma,789968,21731,15.88,,,10.86,,12.26,7.09,11.5,,,7.99,,,,,,,,,,,,,16.37
District 1,Oregon,817756,61492,25.23,,,,,17.54,11.15,,,7.24,10.28,,,,,,,,,,,,3.06,12.14
District 1,Pennsylvania,723042,52107,14.64,,,,8.38,35.71,,,,,,,,,,,,,,,,,,14.99
District 1,Rhode Island,532360,19033,23.94,,,,,21.14,,,,,,,,,,,,,,,,,,
District 1,South Carolina,748066,13505,16.21,,,,,25.52,30.38,,,,,,,,,,,,,,,,,
District 1,Tennessee,712059,5152,,,,,,22.79,,,,,,,,,,,,,,,,,,
District 1,Texas,713841,8378,,,,,,,22.34,,,,,,,,,,,,,,,,,
District 1,Utah,740424,10905,,,,,,18.07,19.09,,,12.56,9.46,,,,,,,,,,,,,
District 1,Virginia,776151,24365,18.05,,,,,12.16,15.43,,,,11.84,,,,,,,,,,,,,
District 1,Washington,729667,76861,35.67,,,,,21.73,9.14,,,6.82,8.71,,,,,,,,,,,,2.52,5.11
District 1,West Virginia,615449,5928,29.15,,,,,29.81,,,,,,,,,,,,,,,,,,
District 1,Wisconsin,716303,13099,32.52,,,,,14.31,,,,,,,,,,,,,,,,,,
District 10,California,737719,50577,32.08,,,,9.18,7.61,27.11,,,1.72,,,,,,,,,,,,,,7.02
District 10,Florida,787875,41303,31.46,,,,,12.38,15.63,,,,,,,,,,,,,,,,,16.67
District 10,Georgia,728072,15305,23.53,,,,,17.79,,10.49,,,,,,,,,,,,,,,,
District 10,Illinois,715072,74173,39,,,,,14.35,16.87,,,2.38,17.65,,,,,,,,3.04,,,,,
District 10,Michigan,713551,11873,32.17,,,,,,21.26,,,,,,,,,,,,,,,,,
District 10,New Jersey,754301,54488,35.86,,,,,8.38,36.42,,,,,,,,,,,,5.54,,,,,
District 10,New York,740752,138831,11.98,,,,,63.1,2.4,,,2.68,5.83,,,,,,,,4.84,,,,1.31,1.31
District 10,North Carolina,749120,12280,13.32,,,,,,,28.2,,,,,,,,,,,,,,,,
District 10,Ohio,720851,15890,30.53,,,,,25.95,10.11,,,,6,,,,,,,,,,,,,
District 10,Pennsylvania,699026,6607,,,,,,,,,,,8.75,,,,,,,,,,,,,
District 10,Texas,813505,45530,28,,,,,18.71,,,,,5.27,,,,,,,,,,,,,22.88
District 10,Virginia,813785,114364,39.32,,,,,12.53,8.12,,,1.48,12.58,,,,,,,,6.49,,,,1.85,9.56
District 10,Washington,720357,46924,,,,,11.43,7.77,24.98,,,5.72,20.37,,,,,,,,,,,,3.72,14.59
District 11,California,749531,103627,11.65,,,,,29.76,26.4,,,5.55,6.32,,,,,,,,,,,,3.63,5.64
District 11,Florida,738652,9457,25.92,,,,,,27.77,,,,,,,,,,,,,,,,,
District 11,Georgia,744447,25746,42.79,,,,,12.29,9.76,,,,8.49,,,,,,,,,,,,,
District 11,Illinois,723626,55071,43.91,,,,,12.66,19.46,,,,5.2,,,,,,,,5.64,,,,,
District 11,Michigan,721434,70706,51.05,,,,,18.42,5.49,,,5.93,7.51,,,,,,,,4.13,,,,,2.38
District 11,New Jersey,743033,74043,43.7,,,,,23.54,13.6,,,1.09,8.06,,,,,,,,,,,,,
District 11,New York,733750,100581,11.1,,,,,62.33,5.95,,,,4.64,,,,,,,,8.98,,,,1.19,
District 11,North Carolina,746213,8811,,,,,,,,29.16,,,,,,,,,,,,,,,,
District 11,Ohio,697927,17410,32.07,,,,,32.45,6.05,,,,7.33,,,,,,,,,,,,,
District 11,Pennsylvania,707296,11830,29.51,,,,,18.86,,,,,,,,,,,,,,,,,,
District 11,Texas,753479,8085,,,,,,,22.67,,,,,,,,,,,,,,,,,
District 11,Virginia,787515,142728,24.1,,,,,11.88,7.86,,,1.55,22.54,,,,,,,,7.52,,,1.67,1.54,13.43
District 12,California,752652,241935,6.35,,,,,61.85,11.93,,,3.79,3.61,,,,,,,,,,0.83,0.85,3.05,4.88
District 12,Florida,743356,19578,26.66,,,,,16.44,17.77,,,,,,,,,,,,,,,,,
District 12,Georgia,713701,12229,25.05,,,,,14.99,17.46,,,,,,,,,,,,,,,,,
District 12,Illinois,700568,8291,,,,,,,17.37,,,,,,,,,,,,,,,,,
District 12,Michigan,708323,37764,28.84,,,,,29.96,6.33,,,5.21,10.9,,,,,,,,5.77,,,,,
District 12,New Jersey,757602,125854,58.99,,,,,19.02,6.75,,,1.05,4.95,,,,,,,,3.36,,,,,
District 12,New York,732140,101786,18.86,,,,,34.9,7.71,,,8.86,13.27,,,,,,,,,,1.93,,,1.41
District 12,North Carolina,830510,45962,39.14,,,,,9.27,3.32,,,,4.35,,,,,,,,,,,,,18.6
District 12,Ohio,761758,30311,45.99,,,,,19.99,4.11,,,,,,,,,,,,,,,,,
District 12,Pennsylvania,699504,13071,31.26,,,,,30.53,,,,,,,,,,,,,,,,,,
District 12,Texas,773234,26511,14.05,,,,,6.55,,,,,,,,,,,,,,,,,,25.48
District 13,California,750102,156153,5.88,,,,1.67,47.81,14.76,,,3.99,5.66,2.01,,,,,,,,,1.21,,3.57,9.34
District 13,Florida,717518,24687,17.48,,,,,9.59,19.38,,,,,,,,,,,,,,,,,25.82
District 13,Georgia,740677,19500,33.22,,,,,,,,,,,,,,,,,,,,,,,19.63
District 13,Illinois,706023,26710,22.08,,,,,38.86,9.2,,,,14.97,,,,,,,,,,,,,
District 13,Michigan,681222,9033,37.42,,,,,,,,,,,,,,,,,,,,,,,
District 13,New York,782402,36324,20.02,,,,,34.97,10.52,,,4.65,8.82,,,,,,,,,,,,,
District 13,North Carolina,762411,26006,21.23,,,,,6.31,,,,,,,,,,,,,,,,,,21.08
District 13,Ohio,710834,11984,17.21,,,,,18.22,,,,,,,,,,,,,,,,,,
District 13,Pennsylvania,727631,66798,29.94,,,,,22.82,4.51,,,,14.4,,,,,,,,,,,,,13.1
District 13,Texas,708616,14403,,,,24.31,,,,,,,,,,,,,,,,,,,,19.7
District 14,California,750274,251165,7.49,,,,,44.4,31.87,,,4,2.81,,,,,,,,,,0.85,,2.99,2.61
District 14,Florida,750173,33323,40.02,,,,,13.09,11.4,,,,6.39,,,,,,,,,,,,,13.45
District 14,Georgia,704946,7571,,,,,,,,,,,,,,,,,,,,,,,,
District 14,Illinois,730782,32020,42.6,,,,,13.1,20.41,,,,,,,,,,,,,,,,,
District 14,Michigan,692552,31070,45.33,19.01,,,,7.91,7.61,,,4.68,,,,,,,,,,,,,,
District 14,New York,721690,124072,22.98,12.66,,,,31.68,10.01,,,1.84,5,,,,3.15,,,,4.16,,,,1.44,2.01
District 14,Ohio,718257,14895,42.33,,,,,26.18,,,,,,,,,,,,,,,,,,
District 14,Pennsylvania,701608,22566,26,,,,,35.82,,,,,9.31,,,,,,,,,,,,,
District 14,Texas,737708,22514,21.12,,,,,10.83,14.68,,,,,,,,,,,,,,,,,32.95
District 15,California,764963,248958,30.89,,,,,26.04,23.79,,,2.26,4.4,,,,,,,,1.19,,0.83,0.48,2.36,5.37
District 15,Florida,761327,22764,40.8,,,,,11.29,15.14,,,,,,,,,,,,,,,,,
District 15,Illinois,701048,4825,,,,,,,25.28,,,,,,,,,,,,,,,,,
District 15,New York,758424,14201,29.15,31.46,,,,,,,,,,,,,,,,,,,,,,
District 15,Ohio,749429,17636,26.6,,,,,24.29,7.77,,,,,,,,,,,,,,,,,
District 15,Pennsylvania,722676,19721,35.5,,,,,21.13,6.42,,,,7.92,,,,,,,,,,,,,
District 15,Texas,764749,8151,,,,,,,44.03,,,,,,,,,,,,,,,,,
District 16,California,725356,67145,17.89,,,,5.83,4.16,9.28,40.01,,2.63,,12.12,,,,,,,,,,,,
District 16,Florida,782096,16026,22.01,,,,,15.84,17.73,,,,,,,,,,,,,,,,,21.66
District 16,Illinois,698425,10076,,,,,,16.88,24.04,,,,,,,,,,,,,,,,,
District 16,New York,745855,38638,35.57,,,,,17.37,15.55,,,5.23,7.78,,,,,,,,,,,,,
District 16,Ohio,722933,15657,43.78,,,,,18.69,9.69,,,,,,,,,,,,,,,,,
District 16,Pennsylvania,725929,13591,17.02,,,,,21.18,,,,,5.44,,,,,,,,,,,,,23.01
District 16,Texas,734516,9471,,,,,,,25.68,,,,,,,,,,,,,,,,,
District 17,California,762175,407299,34.25,,,,,28.27,12.88,,,2.67,3.37,,,,,,,,1.25,,1.6,,1.75,11.57
District 17,Florida,743040,9771,23.37,,,,,,24.7,,,,,,,,,,,,,,,,,
District 17,Illinois,694242,10041,22.46,,,,,,12.85,,,,,,,,,,,,,,,,,
District 17,New York,742801,44217,34.24,,,,,23.76,15.92,,,6.71,9.89,,,,,,,,,,,,,
District 17,Pennsylvania,696919,13292,29.49,,,,,,,,,,,,,,,,,,,,,,,
District 17,Texas,750555,35840,26.71,,,,,17.01,6.81,,,,9.73,,,,,,,,,,,,,22.71
District 18,California,735753,166259,23.9,,,,,38.64,7.19,,,7.74,8.11,,,,,,,,,,2.52,,2.3,6.41
District 18,Florida,744294,16609,29.94,,,,,18.44,15.7,,,,,,,,,,,,,,,,,
District 18,Illinois,711884,19198,56.55,,,,,12.65,11.9,,,,,,,,,,,,,,,,,
District 18,New York,723244,22334,27.34,,,,,29.09,11.62,,,,9.11,,,,,,,,,,,,,
District 18,Pennsylvania,704815,14388,44.92,,,,,20.41,,,,,,,,,,,,,,,,,,
District 18,Texas,766074,28544,15.35,,,,,12.72,,,,,,,,,,,,,,,,,,33.56
District 19,California,760615,211902,15.18,,,,1.45,14.22,19.49,,,2.87,1.77,,,,,,,,,,,,3.3,38.64
District 19,Florida,777171,11680,24.35,,,,,19.74,19.68,,,,,,,,,,,,,,,,,
District 19,New York,705473,11802,22.73,,,,,27.83,10.45,,,,10.51,,,,,,,,,,,,,
District 19,Texas,721822,10156,21.11,,,,,18.18,,,,,,,,,,,,,,,,,,
District 2,Alabama,681443,7505,,,,,,19.92,,,,,31.99,,,,,,,,,,,,,
District 2,Arizona,717718,21725,10.12,,,,,24.3,18.84,,,7.16,9.56,,,,,,,,,,,,,16.76
District 2,Arkansas,757113,11803,24.23,,,,,26.58,10.76,,,,,,,,,,,,,,,,,
District 2,California,717270,26854,14.11,,,,,26.24,17.85,,,9.45,6.55,,,,,,,,,,,,3.12,7.86
District 2,Colorado,782425,24631,19.67,,,,,32.24,5.88,,,8.34,9.97,,,,,,,,,,,,,7.73
District 2,Connecticut,708127,23424,26.25,,,,,35.24,9.88,,,,6.78,,,,,,,,,,,,,
District 2,Florida,712695,12126,27.34,,,,,16.86,19.03,,,,,,,,,,,,,,,,,
District 2,Georgia,680145,7830,28.42,,,,,,,,,,17.83,,,,,,,,,,,,,
District 2,Hawaii,710433,183857,,,,,,4.69,50.52,,,31.36,2.39,,,,,0.39,,,,,,,8.18,
District 2,Idaho,808083,12115,,,,,,16.58,16.74,,,,,,,,,,,,,,,,,
District 2,Illinois,704321,5029,,,,,,,,,,,,,,,,,,,,,,,,
District 2,Indiana,722649,8913,21.55,,,,,29.77,,,,,,,,,,,,,,,,,,
District 2,Iowa,777339,18208,20.68,,,2.46,,27.11,,,,,,,,,,,,,,,,,,10.62
District 2,Kansas,714182,11124,24.44,,,,,26.57,12.54,,,,,,,,,,,,,,,,,
District 2,Kentucky,747700,9805,,,,19.7,,,,,,,11.75,,,,,,,,,,,,,
District 2,Louisiana,790128,21102,6.9,,,,,,,,,,,,,,,,,,,,,,,70.31
District 2,Maine,655084,4657,,,,,,35.15,,,,,,,,,,,,,,,,,,
District 2,Maryland,757951,41390,28.42,,,,,13.46,16.47,,,,13.95,,,,,,,,,,,,,
District 2,Massachusetts,744002,40968,31.38,,,,,23.35,,,,,4.99,,,,,,,,,,,,,20.37
District 2,Michigan,729695,16620,11.82,,,,,11.98,,,,,9.43,,,,,,,,,,,,,24.73
District 2,Minnesota,692389,32092,18.37,,,,8.69,9.96,7.05,12.67,,,6.8,5.9,,,,,,,,,,,,19.24
District 2,Mississippi,716972,3715,,,,,,,,,,,,,,,,,,,,,,,,
District 2,Missouri,762444,33546,36.75,,,,,20.89,7.55,,,2.37,6.63,,,,,,,,,,,,,
District 2,Nebraska,652312,21190,26.44,,,16.55,,12.84,5.65,,,,5.51,,,,,,,,,,,,,
District 2,Nevada,702115,27819,11.68,,,,,13.18,43.72,,,5.17,,,,,,,,,,,,,,
District 2,New Hampshire,661381,17341,35.69,,,,,25.38,4.6,,,,6.91,,,,,,,,,,,,,
District 2,New Jersey,726894,29431,29.29,8.58,,,,15.8,13.49,,,,6.72,,,,,,,,,,,,,12.28
District 2,New Mexico,696944,5336,,,,,,,27.55,,,,,,,,,,,,,,,,,
District 2,New York,721061,22669,36.31,,,,,18.36,11.38,,,,7.55,,,,,,,,,,,,,
District 2,North Carolina,806396,14128,33.43,,,,,19.99,15.6,,,,8.61,,,,,,,,,,,,,
District 2,Ohio,726067,9972,37.85,,,,,23.32,,,,,,,,,,,,,,,,,,
District 2,Oklahoma,748004,4397,,,,,,,14.35,19.06,,,,,,,,,,,,,,,,17.53
District 2,Oregon,794957,8178,,,,,,21.99,21.15,,,14.29,,,,,,,,,,,,,,
District 2,Pennsylvania,716385,36846,19.34,,,,,33.34,6.63,,,,10.71,,,,,,,,,,,,,8.28
District 2,Rhode Island,523778,16523,13.73,,,,21.27,28.8,7.11,,,,,,,,,,,,,,,,,
District 2,South Carolina,697001,13249,28.3,,,,,,,,,,14.85,,,,,,,,,,,,,
District 2,Tennessee,732230,11515,23.75,,,,,24.32,9.75,,,,12.62,,,,,,,,,,,,,
District 2,Texas,767312,59074,20.38,,,,,14.95,9.79,,,,4.9,,,,,,,,,,,,,30.85
District 2,Utah,739470,18388,9.38,,,,,21.72,,,,8.46,8.49,,,,,,,,,,,,,
District 2,Virginia,738962,40219,10.08,,,,,12.48,52.97,,,,7.8,,,,,,,,,,,,,7.3
District 2,Washington,715426,60167,10.06,,,,4.79,14.05,22.86,,,5.56,13.51,,,,,,,,,,,,,16.56
District 2,West Virginia,623720,5098,,,,,,,,,,,,,,,,,,,,,,,,
District 2,Wisconsin,747025,31381,21.26,,,,,28.78,4.1,19.58,,,8.15,,,,,,,,,,,,,
District 20,California,734923,38568,10.1,,,,,16.31,39.37,,,10.38,7.99,,,,,,,,,,,,2.74,6.93
District 20,Florida,765067,20370,31.4,,,,,,,,,,,,,,,,,,,,,,,
District 20,New York,727071,36523,32.77,,,,,29.44,7.54,,,,8.05,,,,,,,,8.89,,,,,
District 20,Texas,776926,24590,30.38,,,,,,25.77,,,,,,,,,,,,,,,,,
District 21,California,712221,22573,25.39,,,,,,49.58,,,4.86,,,,,,,,,,,,,,
District 21,Florida,754832,19700,32.22,,,,,19.88,12.93,,,,,,,,,,,,,,,,,
District 21,New York,712223,6951,,,,,,24.17,,,,,,,,,,,,,,,,,,
District 21,Texas,777686,26948,32.57,,,,,20.07,10.01,,,2.63,10.29,,,,,,,,,,,,,7.29
District 22,California,748078,59218,20.32,,,,,9.92,17.94,20.56,,6.61,,8.15,,,,,,,,,,,2.1,5.64
District 22,Florida,742818,24394,36.14,,,,,22.81,9.25,,,,,,,,,,,,,,,,,
District 22,New York,704369,19369,16.59,,,15.52,,20.53,,,,,6.11,,,,,,,,,,,,,10.41
District 22,Texas,844913,151634,35.27,,,,,19.27,10.47,,,,,,,,,,,,9.37,,,,,16.73
District 23,California,738134,38560,24.58,,,,,9.61,35.04,,,,5.87,,,,,,,,,,,,,
District 23,Florida,751320,31168,40.96,,,,,21.56,12.08,,,,,,,,,,,,,,,,,
District 23,New York,706305,17367,20.12,,,,,43.31,,,,,12.76,,,,,,,,,,,,,
District 23,Texas,752067,10173,30.19,,,,,,19.71,,,,,,,,,,,,,,,,,
District 24,California,732284,34337,7.66,,,,,23.43,32.04,,,10.13,9.3,,,,,,,,,,,,3.94,6.5
District 24,Florida,741759,9641,24.47,,,,,20.16,25.86,,,,,,,,,,,,,,,,,
District 24,New York,712307,19777,19.41,,,,,27.92,4.63,,,,7.04,,,,,,,,,,,,,13.29
District 24,Texas,774968,102702,47.54,,,,,8.43,3.95,,,,9.91,,,,4.45,,,,6.03,,,,1.02,9.72
District 25,California,72e4,59434,16.82,,,,,9.82,37.53,,,4.85,16.73,,,,,,,,,,,,2.56,4.44
District 25,Florida,756894,8593,32.65,,,,,,,,,,,,,,,,,,,,,,,
District 25,New York,721651,27348,25,,,,,24.99,,,,,7.1,,,,,,,,,,,,,9.91
District 25,Texas,755821,22400,26.92,,,,,23.33,10.49,,,,11.52,,,,,,,,,,,,,
District 26,California,725161,49587,17.75,,,,,17.87,35,,,8.15,5.9,,,,,,,,,,,,3.19,6.32
District 26,Florida,772867,14251,27.46,,,,,30.01,,,,,,,,,,,,,,,,,,
District 26,New York,715764,28926,27.31,,,,,21.4,3.25,,,,7.91,,,,,,,,,,,,,4.56
District 26,Texas,823749,50217,39.56,,,,,11.59,7.37,,,,9.6,,,,,,,,4.37,,,,,10.5
District 27,California,719377,276702,2.91,,,0.84,1.05,61.55,5.75,,1.24,4.84,4.49,,,,,,,,,,2.66,0.86,3.92,8.88
District 27,Florida,750149,14805,20.99,,,,,35.85,,,,,,,,,,,,,,,,,,
District 27,New York,718095,7698,25.68,,,,,28.31,,,,,13.07,,,,,,,,,,,,,
District 27,Texas,732212,11568,,,,,,14.74,26.35,,,,,,,,,,,,,,,,,22.83
District 28,California,717921,96796,7.53,,,,,12.3,37.03,,,5.99,23.58,,,,,,,,,,,3.87,2.73,2.88
District 28,Texas,742188,7821,,,,,,,30.1,,,,,,,,,,,,,,,,,
District 29,California,721965,56213,6.37,,,,,5.77,57.1,,,4.17,7.73,,,,,,,,,,,6.3,1.9,4.18
District 29,Texas,740295,11817,,,,,,,,,,,,,,,,,,,,,,,,46.88
District 3,Alabama,703772,12013,,,,,,18.66,,,,,35.71,,,,,,,,,,,,,
District 3,Arizona,751029,13150,,,,,,18.55,29.1,,,,,,,,,,,,,,,,,13.73
