District,State,Total Population,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,Chinese except Taiwanese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Other Asian not specified,Other Asian specified,Pakistani,Sri Lankan,Taiwanese,Thai,Vietnamese
District 3,Arkansas,782339,6616,,,,,2721,3316,,,,,4232,,,,,,,,,,,3841
District 3,California,730723,19745,,,,,16953,32877,3763,,7459,4884,,,,,,2155,,,,,1597,6133
District 3,Colorado,731888,,,,,,1840,2057,,,1716,,,,,,,,,,,,,
District 3,Connecticut,717162,10731,,,,,9448,3816,,,,2997,,,,,,,,,,,,
District 3,Florida,720286,6447,,,,,6274,7789,,,,,,,,,,,,,,,,3157
District 3,Georgia,721355,4626,,,,,2148,2264,,,1529,3413,,,,,,,,,,,,
District 3,Illinois,724628,4701,,,,,16899,6137,,,,,,,,,,,,,,,,
District 3,Indiana,736567,3425,,,3436,,1636,1552,,,,,,,,,,,,,,,,
District 3,Iowa,811951,5957,,,3376,,2933,2609,,,,2309,,,,,,,,,,,,5373
District 3,Kansas,754183,12033,,,,,6014,3594,,,1766,3066,2169,,,,,,,,,,,2862
District 3,Kentucky,742664,6196,,,,,2636,2258,,,1152,2086,,,,,,,,,,,,3380
District 3,Louisiana,780962,,,,,,,1281,,,,,1719,,,,,,,,,,,4593
District 3,Maryland,752897,14105,,,,,11844,9948,,,2767,10387,,,,,,,,3426,,,,5467
District 3,Massachusetts,760993,15967,,,,17719,14187,,,,1752,2767,,,,,,,,,,,,5160
District 3,Michigan,731521,3009,,,2003,,3256,1878,,,,2048,,,,,,,,,,,,
District 3,Minnesota,703785,16547,,,,,8143,3452,8301,,1825,4013,2973,,,,,,,,,,,8905
District 3,Mississippi,748858,3185,,,,,,,,,,,,,,,,,,,,,,
District 3,Missouri,775379,2165,,,,,,2054,,,,1282,,,,,,,,,,,,
District 3,Nebraska,605462,,,,,,,,,,905,,,,,,,,,,,,,
District 3,Nevada,762236,7263,,,,,24050,64195,,,10010,10192,,,,,,2395,,,,,3782,7112
District 3,New Jersey,737263,12064,,,,,4667,7503,,,,3812,,,,,,,,,,,,
District 3,New Mexico,696138,1657,,,,,2218,3411,,,1877,1224,,,,,,,,,,,,
District 3,New York,731138,41247,,,,,37841,5784,,,2493,20525,,,,,,3619,,4534,,,,
District 3,North Carolina,754005,,,,1778,,,5381,,,2311,,,,,,,,,,,,,
District 3,Ohio,770797,8010,,,,,6759,2871,,,,1931,,,,,,,,,,,,2267
District 3,Oklahoma,773867,2715,,,,,2731,1450,,,1336,,,,,,,,,,,,,2637
District 3,Oregon,820929,3586,,,,,17272,9351,,,8868,4479,4009,,,,,1576,,,,,,18777
District 3,Pennsylvania,695002,1925,,,,,1782,1314,,,,955,,,,,,,,,,,,
District 3,South Carolina,677940,,,,,,2170,1365,,,,,,,,,,,,,,,,
District 3,Tennessee,723001,3317,,,,,1841,,,,,,,,,,,,,,,,,
District 3,Texas,816143,55009,,,,,26683,9050,,,3357,8710,,,,,,2950,,7237,,1758,,11869
District 3,Utah,740511,2629,,,,,6318,3019,,,4261,2612,,,,,,,,,,,,
District 3,Virginia,738417,2156,,,,1261,2780,10170,,,,3279,,,,,,,,,,,,3479
District 3,Washington,708507,3262,,,,,6154,7019,,,5001,4421,1005,,,,,,,,,,,4546
District 3,West Virginia,597674,,,,,,,1013,,,,,,,,,,,,,,,,
District 3,Wisconsin,718086,,,,,,2255,1864,9297,,,,,,,,,,,,,,,
District 30,California,758784,16357,,,,,15456,35074,,,8460,15100,,,,,,5189,,,,,3115,9424
District 30,Texas,760204,,,,,,2702,2997,,,,,,,,,,,,,,,,5301
District 31,California,740071,7148,,,,2429,14553,20915,,4196,3929,5289,,,,,,,,,,,,5553
District 31,Texas,806513,15754,,,,,7323,6895,,,2470,7405,,,,,,,,,,,,5243
District 32,California,721884,3016,,,,1937,64390,37364,,,4807,3608,,,,,,1736,,,,2415,2210,20208
District 32,Texas,752654,14168,,,,,10402,6510,,,,3456,,,,,,,,,,,,22244
District 33,California,715197,14613,,,,,34327,16629,,,22600,25358,,,,,,3322,,,,3469,,5552
District 33,Texas,727777,2881,,,,,,,,,,,,,,,,,,,,,,6483
District 34,California,728048,3789,,,,,28585,36922,,,7002,61034,,,,,,1725,,,,,2391,5260
District 34,Texas,720989,,,,,,,,,,,,,,,,,,,,,,,
District 35,California,735165,3787,,,,,14905,20098,,,2972,3960,,,,,,,,,,,,7195
District 35,Texas,795361,,,,,,2859,3612,,,,2451,,,,,,,,,,,,
District 36,California,740835,,,,,,4240,14463,,,2726,,,,,,,,,,,,,
District 36,Texas,726915,4972,,,,,2305,,,,,,,,,,,,,,,,,2797
District 37,California,721893,10208,,,,,22467,12448,,,13233,17012,,,,,,2513,,,,1656,,3633
District 38,California,720150,10318,,,,3582,22751,39415,,,8050,21839,,,,,,,,,,1625,2528,9387
District 39,California,726854,16057,,,,,89042,41160,,3061,12650,50452,,,,,,1900,,,,7659,2355,13929
District 4,Alabama,683508,,,,,,,,,,,,,,,,,,,,,,,
District 4,Arizona,749187,,,,,,2e3,5355,,,1788,,,,,,,,,,,,,
District 4,Arkansas,714749,,,,,,,,,,,,,,,,,,,,,,,
District 4,California,726653,9345,,,,,8670,14846,,,6042,3684,,,,,,,,,,,,2669
District 4,Colorado,780344,4265,,,,,4328,2926,,,2865,2278,,,,,,,,,,,,1187
District 4,Connecticut,738259,16452,,,,,11465,4933,,,2675,3257,,,,,,,,,,,,
District 4,Florida,763855,10797,,,,,4873,13763,,,1894,2494,,,,,,,,,,,,4290
District 4,Georgia,739094,11428,,,4055,,3033,,,,,,,,,,,,,,,,,9049
District 4,Illinois,703303,3180,,,,,8128,11172,,,1432,1908,,,,,,,,,,,,
District 4,Indiana,745099,5407,,,,,9341,2416,,,,2385,,,,,,,,,,,,
District 4,Iowa,758360,2133,,,,,4596,1640,,,,1830,1873,,,,,,,,,,,2644
District 4,Kansas,722477,2950,,,,,2555,2678,,,1202,1750,2508,,,,,,,,,,,10965
District 4,Kentucky,749054,3027,,,,,,,,,2e3,,,,,,,,,,,,,
District 4,Louisiana,758769,,,,,,,2749,,,,1756,,,,,,,,,,,,
District 4,Maryland,747699,5533,,,,,4218,7868,,,,2979,,,,,,,,,,,,1969
District 4,Massachusetts,751263,13566,,,,,21435,2261,,,3354,5091,,,,,,,,,,,,1756
District 4,Michigan,700749,1989,,,,,2015,1320,,,,1302,,,,,,,,,,,,
District 4,Minnesota,701130,8150,,,11065,,8470,3323,44056,,1939,4484,,,,,,,,,,,,5653
District 4,Mississippi,762965,,,,,,,3641,,,1153,,,,,,,,,,,,,5258
District 4,Missouri,762923,2726,,,,,3463,3375,,,,2311,,,,,,,,,,,,
District 4,Nevada,731299,,,,,,5267,35504,,,5845,4089,,,,,,820,,,,,2054,2191
District 4,New Jersey,741766,11714,,,,,9080,6263,,,,3302,,,,,,,,,,,,
District 4,New York,724387,21890,,,,,11666,6961,,,,2865,,,,,,,,,,,,
District 4,North Carolina,825295,32094,,,,,16600,4252,,,2289,6295,,,,,,,,,,,,5739
District 4,Ohio,711332,1813,,,,,1662,1212,,,1240,,,,,,,,,,,,,
District 4,Oklahoma,780488,2691,,,,,4023,4171,,,2691,4569,,,,,,,,,,,,5510
District 4,Oregon,785159,2349,,,,,8132,4319,,,5099,4088,,,,,,,,,,,,1789
District 4,Pennsylvania,720275,5662,,,,,3236,2153,,,,2354,,,,,,,,,,,,2817
District 4,South Carolina,708271,4293,,,,,3243,2206,,,,,,,,,,,,,,,,
District 4,Tennessee,756359,,,,,,,,,,,,4210,,,,,,,,,,,
District 4,Texas,728435,,,,,,2209,2431,,,,,,,,,,,,,,,,
District 4,Utah,773536,4723,,,,,6750,3547,,,4149,,,,,,,,,,,,,5101
District 4,Virginia,760613,4006,,,,,3130,5905,,,,2797,,,,,,,,,,,,985
District 4,Washington,711057,,,,,,2682,4503,,,2402,,,,,,,,,,,,,
District 4,Wisconsin,715308,3112,,,,,3374,1767,13338,,,,,,,,,,,,,,,
District 40,California,714946,,,,,,2105,7516,,,,3332,,,,,,,,,,,,
District 41,California,747233,5965,,,,,9040,15876,,,3547,4044,,,,,,,,,,,,6885
District 42,California,777599,8473,,,,,15311,33363,,,5584,7788,,,,,,,,,,,,9579
District 43,California,726570,7808,,,,,14863,23850,,,29175,16313,,,,,,,,,,,,9923
District 44,California,723533,,,,,5174,3081,31428,,,2484,2240,,,,,,,,,,,,2228
District 45,California,762519,27941,,,,,55478,31396,,,20374,32729,,,,,,6670,,,,7305,,23292
District 46,California,730094,4731,,,,3827,9247,20239,,,4592,8993,,,,,,,,,,,,46983
District 47,California,717209,7134,,,,18037,14996,37828,,,9242,17293,,,,,,2338,,,,,,66162
District 48,California,727426,8075,,,,,20758,14351,,,14343,9173,,,,,,2536,,,,,,75445
District 49,California,736520,9470,,,,,12589,20446,,,8072,6324,,,,,,,,,,,,6880
District 5,Alabama,708691,2824,,,,,2406,2833,,,,2977,,,,,,,,,,,,
District 5,Arizona,782680,10137,,,,,8473,9069,,,3542,4224,,,,,,,,,,,,6178
District 5,California,727704,7244,,,,,13511,56126,,,5717,2831,3802,,,,,,,,,,,5699
District 5,Colorado,772116,2566,,,,,3780,8860,,,3883,8088,,,,,,,,,,,,2044
District 5,Connecticut,715601,10637,,,,,6834,2839,,,,2113,,,,,,,,,,,,
District 5,Florida,722646,2108,,,,,3289,8535,,,,,,,,,,,,,,,,3351
District 5,Georgia,751264,9468,,,,,6459,1916,,,,4403,,,,,,,,,,,,9336
District 5,Illinois,737064,14504,,,,,8146,19402,,,3168,5923,,,,,,2972,,,,,,4866
District 5,Indiana,757787,10904,,,,,7083,3567,,,,3147,,,,,,,,,,,,
District 5,Kentucky,706248,,,,,,,,,,,,,,,,,,,,,,,
District 5,Louisiana,749991,,,,,,,,,,,,,,,,,,,,,,,
District 5,Maryland,759228,6830,,,,,7454,12158,,,1471,3972,,,,,,,,,,,,
District 5,Massachusetts,760616,23895,,,,,40232,3077,,,4118,7555,,,,,,3373,,,,1205,,5902
District 5,Michigan,682884,2578,,,,,,1766,,,,,,,,,,,,,,,,
District 5,Minnesota,702022,9529,,,,,7666,3026,14816,,1749,4962,2295,,,,,,,,,,,4156
District 5,Missouri,761929,2219,,,,,2789,3037,,,1169,1802,,,,,,,,,,,,4333
District 5,New Jersey,745615,25309,,,,,13087,19140,,,3098,19921,,,,,,,,,,,,
District 5,New York,784341,72859,14974,,,,8246,9643,,,,,,,,,,7437,,6664,,,,
District 5,North Carolina,749093,2167,,,,,2950,2589,,,,,,,,,,,,,,,,
District 5,Ohio,722212,3016,,,,,2725,,,,,,,,,,,,,,,,,
District 5,Oklahoma,803924,5882,,,,,3627,2939,,,1781,2222,,,,,,,,,,,,9889
District 5,Oregon,806326,2875,,,,,7823,6681,,,4571,3555,,,,,,,,,,,,4224
District 5,Pennsylvania,702582,2719,,,,,6413,1251,,,,2226,,,,,,,,,,,,
District 5,South Carolina,695549,2635,,,,,,2039,,,,,,,,,,,,,,,,1447
District 5,Tennessee,758995,6134,,,,,3651,1870,,,,2835,2242,,,,,2826,,,,,,3446
District 5,Texas,740618,3926,,,,,,2597,,,,,,,,,,,,,,,,3391
District 5,Virginia,733693,2935,,,,,4059,1921,,,1087,2246,,,,,,,,,,,,992
District 5,Washington,696562,2137,,,,,5518,5701,,,4016,2587,,,,,,,,,,,,2934
District 5,Wisconsin,720844,9262,,,,,4966,2198,,,1154,1615,,,,,,,,,,,,
District 50,California,744267,3637,,,,,7451,26257,,,6304,3382,,,,,,,,,,,,6653
District 51,California,730908,,,,,3120,5907,38476,,,3440,,3337,,,,,,,,,,,10917
District 52,California,754053,23985,,,,,43103,51770,,,13174,13677,,,,,,2858,,,,3080,,22753
District 53,California,761273,,,,,,12355,74411,,,8964,6437,,,,,,,,,,,,13310
District 6,Alabama,698968,3250,,,,,3456,1221,,,,,,,,,,,,,,,,
District 6,Arizona,762220,16537,,,,,7722,7719,,,2933,2619,,,,,,,,,,,,3391
District 6,California,743423,16084,,,,,29681,25270,20157,,11076,3374,11566,,,,,4463,,,,,,11667
District 6,Colorado,792196,11905,,,,,8570,5669,,,4175,9418,,,,,,2038,,,,,,7247
District 6,Florida,740950,3070,,,,,,4861,,,1358,,,,,,,,,,,,,
District 6,Georgia,742017,40977,,,,,18861,3997,,,2908,9978,,,,,,,,,,,,4062
District 6,Illinois,725875,26641,,,,,12838,12883,,,3163,6583,,,,,,,,3655,,,,2802
District 6,Indiana,718307,4204,,,,,2245,,,,,,,,,,,,,,,,,
District 6,Kentucky,757699,3951,,,,,3630,2556,,,2429,,,,,,,,,,,,,
District 6,Louisiana,785266,3720,,,,,4142,2501,,,,,,,,,,,,,,,,7095
District 6,Maryland,762155,25077,,,,,27620,9206,,,2457,10133,,,,,,2987,,3309,,,,6686
District 6,Massachusetts,762560,10432,,,,5807,8464,,,,,2463,,,,,,,,,,,,3484
District 6,Michigan,713718,3669,,,,,2528,2578,,,,2612,,,,,,,,,,,,
District 6,Minnesota,694849,2785,,,,,2171,1685,3512,,,3295,,,,,,,,,,,,2579
District 6,Missouri,763913,1636,,,,,2741,2730,,,,,,,,,,,,,,,,1893
District 6,New Jersey,745204,89100,,,,,23160,13505,,,744,5138,,,,,,3534,,7609,,,,
District 6,New York,742207,32386,12651,,,,173752,21550,,,3079,36410,,,,2134,,6274,,8292,,4772,,2645
District 6,North Carolina,757229,,,,,,2943,1502,,,,,,,,,,,,,,,,2809
District 6,Ohio,703764,,,,,,,,,,,,,,,,,,,,,,,
District 6,Pennsylvania,726341,18059,,,,,7736,3625,,,,2358,,,,,,852,,,,,,3067
District 6,South Carolina,667841,1985,,,,,,2203,,,,,,,,,,,,,,,,
District 6,Tennessee,746798,2453,,,,,,1337,,,,,,,,,,,,,,,,
District 6,Texas,759949,5698,,,,,3894,3614,,,1249,1767,,,,,,,,,,,,18975
District 6,Virginia,746117,3250,,,,,3364,3265,,,1481,2265,,,,,,,,,,,,1401
District 6,Washington,689399,,,,,,4968,17854,,,5731,6346,,,,,,,,,,,,3867
District 6,Wisconsin,712513,2832,,,,,1676,1558,10123,,,1193,,,,,,,,,,,,
District 7,Alabama,671659,,,,,,1622,,,,,,,,,,,,,,,,,
District 7,Arizona,782330,,,,,,3139,5971,,,,,,,,,,,,,,,,5203
District 7,California,739746,20694,,,,,29224,37429,7325,,9606,6538,4715,,,,,4731,,,,,,19135
District 7,Colorado,775383,2570,,,,,5359,3376,3115,,4036,2448,,,,,,,,,,,,6825
District 7,Florida,748154,10425,,,,,8189,6436,,,,3001,,,,,,,,,,,,5613
District 7,Georgia,778970,32580,,,,,15576,4131,,,,25983,,,,,,2046,,4647,,,,16469
District 7,Illinois,725329,15982,,,,,21667,7088,,,2206,4466,,,,,,,,,,,,
District 7,Indiana,753500,5079,,,6848,,4007,2846,,,1156,,,,,,,,,,,,,
District 7,Maryland,726536,17131,,,,,11097,4084,,,,11630,,,,,,,,5063,,,,3026
District 7,Massachusetts,781304,13412,,,,,37359,2972,,,2995,5691,,,,,,2290,,,,1175,,14125
District 7,Michigan,703759,1953,,,,,,1654,,,,1800,,,,,,,,,,,,
District 7,Minnesota,663307,,,,,,993,1214,1216,,,1238,,,,,,,,,,,,
District 7,Missouri,768753,,,,,,2134,2371,,,,,,,,,,,,,,,,
District 7,New Jersey,745147,32419,,,,,24893,10923,,,,4990,,,,,,,,,,,,
District 7,New York,750580,18112,,,,,109256,5793,,,3197,4163,,,,,,2859,,,,,,2353
District 7,North Carolina,777138,,,,,,,2132,,,,,,,,,,,,,,,,
District 7,Ohio,724257,,,,,,,1277,,,,,,,,,,,,,,,,
District 7,Pennsylvania,718119,12147,,,,,9238,2998,,,1545,7413,,,,,,,,,,,,3162
District 7,South Carolina,698776,1835,,,,,2489,1744,,,,,,,,,,,,,,,,
District 7,Tennessee,752931,5636,,,,,2464,3277,,,,3702,,,,,,,,,,,,
District 7,Texas,770276,25880,,,,,19714,7691,,,,5527,,,,,,4348,,6387,,,,17301
District 7,Virginia,769141,15211,,,,,6995,4978,,,1914,3920,,,,,,,,,,,,5227
District 7,Washington,746893,12174,,,,3090,29694,19452,,,14308,12431,,,,,,,,,,1983,2051,12947
District 7,Wisconsin,707988,,,,,,989,1542,7059,,,766,,,,,,,,,,,,
District 8,Arizona,761786,7326,,,,,4566,9856,,,2644,3100,,,,,,,,,,,,5889
District 8,California,719950,,,,,,4635,11732,,,,2941,,,,,,,,,,,,3490
District 8,Florida,730040,5299,,,,,3789,4765,,,1422,2055,,,,,,,,,,,,2195
District 8,Georgia,703499,3755,,,,,,2384,,,,2127,,,,,,,,,,,,
District 8,Illinois,716738,52235,,,,,7423,16416,,,4019,6697,,,,,,2918,,5995,,,,3571
District 8,Indiana,720806,1993,,,,,1600,,,,,,,,,,,,,,,,,
District 8,Maryland,759725,16867,,,,,22320,9409,,,4506,10337,,,,,,2287,,,,,1705,6932
District 8,Massachusetts,761328,10741,,,,,32966,4218,,,1802,,,,,,,,,,,,,10391
District 8,Michigan,728626,10822,,,,,10655,2722,,,1560,4821,,,,,,,,,,,,1518
District 8,Minnesota,663113,,,,,,1278,1501,,,,1258,,,,,,,,,,,,
District 8,Missouri,743300,,,,,,1795,,,,,,,,,,,,,,,,,
District 8,New Jersey,774492,34504,,,,,15244,11019,,,2182,4937,,,,,,2630,,,,,,
District 8,New York,772709,12246,3402,,,,17587,4067,,,1450,2240,,,,,,,,4507,,,,
District 8,North Carolina,772777,4975,,,,,2956,3991,1317,,1891,3904,,,,,,,,,,,,2395
District 8,Ohio,725385,4777,,,,,3436,1554,,,,1583,,,,,,,,,,,,
District 8,Pennsylvania,709322,17492,,,,,6904,3540,,,,4596,,,,,,,,,,,,2551
District 8,Tennessee,709012,4280,,,,,3817,,,,,,,,,,,,,,,,,
District 8,Texas,807525,5763,,,,,4863,4510,,,,,,,,,,,,,,,,
District 8,Virginia,787232,18079,4306,,,,16711,14401,,,4482,10375,,,,,,5479,,9790,,,2940,14572
District 8,Washington,725674,16519,,,,2038,17045,14921,,,7320,8286,,,,,,,,,,,,6925
District 8,Wisconsin,725150,3408,,,,,,1363,9225,,,844,,,,,,,,,,,,
District 9,Arizona,761619,12159,,,,,12007,8001,,,3575,3689,,,,,,,,,,,,3791
District 9,California,750185,15326,,,,13055,15138,52408,8007,,5238,2460,4312,,,,,3864,,6829,,,,8506
District 9,Florida,810034,7908,,,,,4929,7460,,,,,,,,,,,,,,,,
District 9,Georgia,725451,,,,,,,,,,,1648,,,,,,,,,,,,2407
District 9,Illinois,723142,27654,,,,,15402,19517,,,5603,10077,,,,,,5205,,11072,,,,6208
District 9,Indiana,743185,4793,,,,,5364,2363,,,,2350,,,,,,,,,,,,
District 9,Massachusetts,735926,,,,,,4102,,,,,1450,,,,,,,,,,,,
District 9,Michigan,717306,10998,3517,,,,4260,5950,,,1009,2235,,,,,,,,,,,,
District 9,New Jersey,758209,27242,4234,,,,14055,10926,,,4823,40452,,,,,,3133,,,,,,
District 9,New York,746279,10571,,,,,25948,2964,,,2575,2517,,,,,,3508,,9183,,,,
District 9,North Carolina,772073,9180,,,,,4213,2440,,,,2119,,,,,,,,,,,,2715
District 9,Ohio,710563,2655,,,,,2598,2194,,,,,,,,,,,,,,,,
District 9,Pennsylvania,694033,,,,,,,,,,,,,,,,,,,,,,,
District 9,Tennessee,705996,2852,,,,,,,,,,981,,,,,,,,,,,,2811
District 9,Texas,780017,16335,,,,,17683,9277,,,,,,,,,,,,4589,,,,36627
District 9,Virginia,714326,2519,,,,,3695,1560,,,,1582,,,,,,,,,,,,
District 9,Washington,726425,29109,,,,5283,47250,34198,,,15706,18955,4629,,,,,2897,,,,2729,,28770
Resident Commissioner District (at Large),Puerto Rico,3468963,5667,,,,,,,,,,,,,,,,,,,,,,
