District,State,Group Population,No Health INS,Share No Health INS
Delegate District (at Large),District of Columbia,25438,,
District (at Large),Alaska,44842,,
District (at Large),Delaware,36442,,
District (at Large),Montana,7355,,
District (at Large),North Dakota,10081,,
District (at Large),South Dakota,11610,,
District (at Large),Vermont,9648,,
District (at Large),Wyoming,4983,,
District 1,Alabama,9907,,
District 1,Arizona,11436,,
District 1,Arkansas,3516,,
District 1,California,19031,,
District 1,Colorado,27486,,
District 1,Connecticut,35856,,
District 1,Florida,18206,,
District 1,Georgia,12395,,
District 1,Hawaii,352262,,
District 1,Idaho,10563,,
District 1,Illinois,13265,,
District 1,Indiana,9481,,
District 1,Iowa,11967,,
District 1,Kansas,11346,,
District 1,Kentucky,4020,,
District 1,Louisiana,17934,,
District 1,Maine,10079,,
District 1,Maryland,15421,,
District 1,Massachusetts,14823,,
District 1,Michigan,4555,,
District 1,Minnesota,17706,,
District 1,Mississippi,5700,,
District 1,Missouri,21852,,
District 1,Nebraska,16398,,
District 1,Nevada,57849,,
District 1,New Hampshire,15864,,
District 1,New Jersey,37536,,
District 1,New Mexico,15839,,
District 1,New York,29640,,
District 1,North Carolina,14907,,
District 1,Ohio,24657,,
District 1,Oklahoma,21687,,
District 1,Oregon,61358,,
District 1,Pennsylvania,52004,,
District 1,Rhode Island,18854,,
District 1,South Carolina,13230,,
District 1,Tennessee,5152,,
District 1,Texas,8276,,
District 1,Utah,10806,,
District 1,Virginia,24023,,
District 1,Washington,76697,,
District 1,West Virginia,5866,,
District 1,Wisconsin,13059,,
District 10,California,50300,,
District 10,Florida,41246,,
District 10,Georgia,15295,,
District 10,Illinois,73597,,
District 10,Michigan,11865,,
District 10,New Jersey,54373,,
District 10,New York,138742,,
District 10,North Carolina,12271,,
District 10,Ohio,15771,,
District 10,Pennsylvania,6503,,
District 10,Texas,45486,,
District 10,Virginia,114186,9170,0.08030756835338833
District 10,Washington,45678,,
District 11,California,103452,,
District 11,Florida,9355,,
District 11,Georgia,25731,,
District 11,Illinois,54992,,
District 11,Michigan,70672,,
District 11,New Jersey,73945,,
District 11,New York,100264,,
District 11,North Carolina,8793,,
District 11,Ohio,17371,,
District 11,Pennsylvania,11811,,
District 11,Texas,7875,,
District 11,Virginia,142399,16885,0.11857527089375627
District 12,California,240973,,
District 12,Florida,19569,,
District 12,Georgia,12036,,
District 12,Illinois,8258,,
District 12,Michigan,37756,,
District 12,New Jersey,125655,,
District 12,New York,101595,,
District 12,North Carolina,45948,,
District 12,Ohio,30275,,
District 12,Pennsylvania,13066,,
District 12,Texas,26423,,
District 13,California,155621,,
District 13,Florida,24598,,
District 13,Georgia,19420,,
District 13,Illinois,26677,,
District 13,Michigan,9031,,
District 13,New York,36261,,
District 13,North Carolina,25982,,
District 13,Ohio,11950,,
District 13,Pennsylvania,66702,,
District 13,Texas,13900,,
District 14,California,250428,,
District 14,Florida,33208,,
District 14,Georgia,7465,,
District 14,Illinois,31987,,
District 14,Michigan,31029,,
District 14,New York,123581,,
District 14,Ohio,14876,,
District 14,Pennsylvania,22525,,
District 14,Texas,22323,,
District 15,California,248482,9780,0.03935898777376228
District 15,Florida,22696,,
District 15,Illinois,4749,,
District 15,New York,14141,,
District 15,Ohio,17597,,
District 15,Pennsylvania,19673,,
District 15,Texas,8120,,
District 16,California,66575,,
District 16,Florida,15991,,
District 16,Illinois,10022,,
District 16,New York,38568,,
District 16,Ohio,15625,,
District 16,Pennsylvania,13582,,
District 16,Texas,8687,,
District 17,California,406717,13971,0.03435066643390859
District 17,Florida,9753,,
District 17,Illinois,9969,,
District 17,New York,44093,,
District 17,Pennsylvania,13179,,
District 17,Texas,35794,,
District 18,California,165648,,
District 18,Florida,16585,,
District 18,Illinois,19176,,
District 18,New York,22010,,
District 18,Pennsylvania,14339,,
District 18,Texas,28518,,
District 19,California,211579,,
District 19,Florida,11665,,
District 19,New York,11650,,
District 19,Texas,9919,,
District 2,Alabama,7362,,
District 2,Arizona,21212,,
District 2,Arkansas,11685,,
District 2,California,26578,,
District 2,Colorado,24600,,
District 2,Connecticut,23210,,
District 2,Florida,11962,,
District 2,Georgia,7425,,
District 2,Hawaii,181714,,
District 2,Idaho,11992,,
District 2,Illinois,5e3,,
District 2,Indiana,8913,,
District 2,Iowa,18165,,
District 2,Kansas,10948,,
District 2,Kentucky,9671,,
District 2,Louisiana,21038,,
District 2,Maine,4632,,
District 2,Maryland,41042,,
District 2,Massachusetts,40865,,
District 2,Michigan,16579,,
District 2,Minnesota,32052,,
District 2,Mississippi,3454,,
District 2,Missouri,33503,,
District 2,Nebraska,21145,,
District 2,Nevada,27652,,
District 2,New Hampshire,17304,,
District 2,New Jersey,29272,,
District 2,New Mexico,5248,,
District 2,New York,22602,,
District 2,North Carolina,13972,,
District 2,Ohio,9965,,
District 2,Oklahoma,4369,,
District 2,Oregon,8017,,
District 2,Pennsylvania,36810,,
District 2,Rhode Island,16454,,
District 2,South Carolina,12729,,
District 2,Tennessee,11498,,
District 2,Texas,59053,,
District 2,Utah,18295,,
District 2,Virginia,38903,,
District 2,Washington,59687,,
District 2,West Virginia,5086,,
District 2,Wisconsin,31319,,
District 20,California,37794,,
District 20,Florida,20318,,
District 20,New York,36472,,
District 20,Texas,24210,,
District 21,California,21642,,
District 21,Florida,19691,,
District 21,New York,6625,,
District 21,Texas,26646,,
District 22,California,59070,,
District 22,Florida,24329,,
District 22,New York,19274,,
District 22,Texas,151335,,
District 23,California,37950,,
District 23,Florida,31148,,
District 23,New York,17318,,
District 23,Texas,9854,,
District 24,California,33892,,
District 24,Florida,9636,,
District 24,New York,19758,,
District 24,Texas,102595,,
District 25,California,59255,,
District 25,Florida,8585,,
District 25,New York,27293,,
District 25,Texas,21815,,
District 26,California,49262,,
District 26,Florida,14185,,
District 26,New York,28886,,
District 26,Texas,50116,,
District 27,California,275808,25530,0.0925643926209537
District 27,Florida,14787,,
District 27,New York,7644,,
District 27,Texas,11455,,
District 28,California,96373,,
District 28,Texas,7747,,
District 29,California,55888,,
District 29,Texas,11810,,
District 3,Alabama,11919,,
District 3,Arizona,13055,,
District 3,Arkansas,22593,,
District 3,California,80702,,
District 3,Colorado,5400,,
District 3,Connecticut,30769,,
District 3,Florida,24312,,
District 3,Georgia,13853,,
District 3,Illinois,30971,,
District 3,Indiana,15246,,
District 3,Iowa,25231,,
District 3,Kansas,33815,,
District 3,Kentucky,19535,,
District 3,Louisiana,11774,,
District 3,Maryland,54077,,
District 3,Massachusetts,58792,,
District 3,Michigan,13863,,
District 3,Minnesota,50468,,
District 3,Mississippi,7760,,
District 3,Missouri,7499,,
District 3,Nebraska,4537,,
District 3,Nevada,105498,,
District 3,New Jersey,26829,,
District 3,New Mexico,8545,,
District 3,New York,112286,,
District 3,North Carolina,10424,,
District 3,Ohio,30575,,
District 3,Oklahoma,11184,,
District 3,Oregon,55531,,
District 3,Pennsylvania,7128,,
District 3,South Carolina,5902,,
District 3,Tennessee,9311,,
District 3,Texas,119741,10524,0.08788969525893386
District 3,Utah,13772,,
District 3,Virginia,18649,,
District 3,Washington,24021,,
District 3,West Virginia,3061,,
District 3,Wisconsin,15402,,
District 30,California,96010,,
District 30,Texas,14791,,
District 31,California,57841,,
District 31,Texas,38370,,
District 32,California,130545,,
District 32,Texas,62908,,
District 33,California,102989,,
District 33,Texas,16086,,
District 34,California,141622,24885,0.1757142251910014
District 34,Texas,4343,,
District 35,California,50787,,
District 35,Texas,11887,,
District 36,California,24466,,
District 36,Texas,14902,,
District 37,California,73573,,
District 38,California,110835,,
District 39,California,222606,,
District 4,Alabama,4190,,
District 4,Arizona,9268,,
District 4,Arkansas,4335,,
District 4,California,35799,,
District 4,Colorado,14960,,
District 4,Connecticut,38979,,
District 4,Florida,34808,,
District 4,Georgia,37602,,
District 4,Illinois,25028,,
District 4,Indiana,21632,,
District 4,Iowa,15658,,
District 4,Kansas,23819,,
District 4,Kentucky,8734,,
District 4,Louisiana,6602,,
District 4,Maryland,22440,,
District 4,Massachusetts,44547,,
District 4,Michigan,7053,,
District 4,Minnesota,85088,,
District 4,Mississippi,11226,,
District 4,Missouri,11083,,
District 4,Nevada,40611,,
District 4,New Jersey,31016,,
District 4,New York,47616,,
District 4,North Carolina,69430,,
District 4,Ohio,6076,,
District 4,Oklahoma,17890,,
District 4,Oregon,18307,,
District 4,Pennsylvania,17582,,
District 4,South Carolina,17112,,
District 4,Tennessee,12522,,
District 4,Texas,7715,,
District 4,Utah,24405,,
District 4,Virginia,13840,,
District 4,Washington,10996,,
District 4,Wisconsin,27820,,
District 40,California,18104,,
District 41,California,42088,,
District 42,California,71752,,
District 43,California,92973,,
District 44,California,42447,,
District 45,California,182626,,
District 46,California,93795,,
District 47,California,160429,,
District 48,California,131826,,
District 49,California,49433,,
District 5,Alabama,11805,,
District 5,Arizona,36179,,
District 5,California,80482,,
District 5,Colorado,18393,,
District 5,Connecticut,27276,,
District 5,Florida,18571,,
District 5,Georgia,32173,,
District 5,Illinois,51932,,
District 5,Indiana,26232,,
District 5,Kentucky,2676,,
District 5,Louisiana,5414,,
District 5,Maryland,32009,,
District 5,Massachusetts,85390,,
District 5,Michigan,6365,,
District 5,Minnesota,43465,,
District 5,Missouri,14050,,
District 5,New Jersey,78877,,
District 5,New York,108961,,
District 5,North Carolina,10585,,
District 5,Ohio,9502,,
District 5,Oklahoma,24772,,
District 5,Oregon,22370,,
District 5,Pennsylvania,12724,,
District 5,South Carolina,7841,,
District 5,Tennessee,24265,,
District 5,Texas,15215,,
District 5,Virginia,12778,,
District 5,Washington,16508,,
District 5,Wisconsin,19782,,
District 50,California,41849,,
District 51,California,58148,,
District 52,California,148988,,
District 53,California,101148,,
District 6,Alabama,11913,,
District 6,Arizona,36064,,
District 6,California,115537,,
District 6,Colorado,47236,,
District 6,Florida,13390,,
District 6,Georgia,82045,,
District 6,Illinois,66361,,
District 6,Indiana,9940,,
District 6,Kentucky,14457,,
District 6,Louisiana,17615,,
District 6,Maryland,84318,,
District 6,Massachusetts,32027,,
District 6,Michigan,11108,,
District 6,Minnesota,15849,,
District 6,Missouri,9878,,
District 6,New Jersey,141384,,
District 6,New York,295380,48396,0.16384318504976642
District 6,North Carolina,12179,,
District 6,Ohio,3017,,
District 6,Pennsylvania,34325,,
District 6,South Carolina,7303,,
District 6,Tennessee,6913,,
District 6,Texas,35955,,
District 6,Virginia,14185,,
District 6,Washington,27598,,
District 6,Wisconsin,16769,,
District 7,Alabama,5327,,
District 7,Arizona,19351,,
District 7,California,114399,,
District 7,Colorado,25293,,
District 7,Florida,32893,,
District 7,Georgia,102319,,
District 7,Illinois,50772,,
District 7,Indiana,21697,,
District 7,Maryland,51677,,
District 7,Massachusetts,77948,,
District 7,Michigan,6601,,
District 7,Minnesota,5645,,
District 7,Missouri,9562,,
District 7,New Jersey,73437,,
District 7,New York,141125,,
District 7,North Carolina,6283,,
District 7,Ohio,4666,,
District 7,Pennsylvania,35052,,
District 7,South Carolina,6582,,
District 7,Tennessee,14376,,
District 7,Texas,83011,,
District 7,Virginia,38668,,
District 7,Washington,85480,,
District 7,Wisconsin,11399,,
District 8,Arizona,27202,,
District 8,California,21847,,
District 8,Florida,16059,,
District 8,Georgia,10536,,
District 8,Illinois,94937,,
District 8,Indiana,7364,,
District 8,Maryland,70053,,
District 8,Massachusetts,60177,,
District 8,Michigan,31662,,
District 8,Minnesota,4918,,
District 8,Missouri,4664,,
District 8,New Jersey,68510,,
District 8,New York,42312,,
District 8,North Carolina,16515,,
District 8,Ohio,13391,,
District 8,Pennsylvania,35027,,
District 8,Tennessee,14324,,
District 8,Texas,22889,,
District 8,Virginia,88869,,
District 8,Washington,60927,,
District 8,Wisconsin,16241,,
District 9,Arizona,38074,,
District 9,California,108672,,
District 9,Florida,23658,,
District 9,Georgia,8961,,
District 9,Illinois,92398,,
District 9,Indiana,16884,,
District 9,Massachusetts,10499,,
District 9,Michigan,30520,,
District 9,New Jersey,101284,,
District 9,New York,53854,,
District 9,North Carolina,19383,,
District 9,Ohio,10098,,
District 9,Pennsylvania,4304,,
District 9,Tennessee,11830,,
District 9,Texas,91253,,
District 9,Virginia,9601,,
District 9,Washington,166891,,
Resident Commissioner District (at Large),Puerto Rico,7653,,
