Group,Total Pop 25+,Less than HS Diploma,HS Graduate,Some College or AA,BA Degree,Graduate or Professional Degree
Asian Indian alone or in any combination ,2960514,7.8,8.6,9.9,32.1,41.6
Bangladeshi alone or in any combination ,115228,18,19.5,15.8,24.7,22.1
Cambodian alone or in any combination ,200258,31.8,24.4,23.6,14.4,5.8
Chinese alone or in any combination ,3378810,16,15.2,15,27.2,26.6
Taiwanese alone or in any combination ,142427,4,7.1,11.1,32.6,45.2
Filipino alone or in any combination ,2612159,6.3,16.1,30,37.7,9.8
Hmong alone or in any combination ,151236,23.2,24.1,28.2,18.5,6
Indonesian alone or in any combination ,76963,4,19.6,26.7,32.6,17
Japanese alone or in any combination ,977561,4.3,17.8,27.3,32.9,17.8
Korean alone or in any combination ,1247998,7,17,20.9,34.1,21
Laotian alone or in any combination ,163247,25.7,30,28,12.7,3.6
Pakistani alone or in any combination ,326307,11.6,13.9,16.5,30.8,27.3
Thai alone or in any combination ,202993,15.7,17.8,23.7,26.5,16.4
Vietnamese alone or in any combination ,1372208,25.2,20.8,22.8,21.4,9.7
Polynesian alone or in any combination,471708,8.1,34.9,35.3,15.3,6.4
Native Hawaiian alone or in any combination,343069,7,35.4,34.8,15.9,6.8
Samoan alone or in any combination,96572,10.2,34.6,36.3,14.3,4.6
Tongan alone or in any combination,32943,11.8,39.1,36.1,9.9,3.1
Micronesian alone or in any combination,137351,13.8,31.1,35.2,14.1,5.7
Guamanian or Chamorro alone or in any combination,86788,8.1,29,37.3,17.9,7.7
Burmese alone or in any combination,106297,51.4,15.1,10.3,16,7.2
Nepalese alone or in any combination ,113913,26.9,15.5,13,21.9,22.6