Population Group,Total Population,Poverty Rate
Asian Indian alone ,4094539,4.1
Bangladeshi alone ,176229,16.6
Cambodian alone ,269577,11.9
Chinese alone ,4180186,10.1
Taiwanese alone ,164795,6.9
Filipino alone ,2911668,4.1
Hmong alone ,296069,15.9
Indonesian alone ,76144,7.7
Japanese alone ,770546,3.8
Korean alone ,1477282,8.7
Laotian alone ,212307,8.3
Pakistani alone ,499099,13.9
Thai alone ,211384,10.7
Vietnamese alone ,1826998,10.7
Burmese alone ,180474,28.4
Nepalese alone ,171709,17.4
Polynesian alone ,363031,13.9
Native Hawaiian alone ,191739,12.8
Samoan alone ,105076,14
Micronesian alone ,169937,19.5
Guamanian or Chamorro alone ,85771,10.3