Geography,Asian Alone Population,Asian Alone Foreign Born,Asian Alone Foreign Born Share,NHPI Alone Total,NHPI Foreign Born,NHPI Foreign Born Share
Alabama,62815,45097,71.79,2213,525,23.72
Alaska,45604,29778,65.3,9075,1251,13.79
Arizona,213417,145482,68.17,13364,2151,16.1
Arkansas,42368,29232,69,7062,3786,53.61
California,5503672,3503923,63.67,152027,39477,25.97
Colorado,164771,106987,64.93,8580,1333,15.54
Connecticut,156450,112197,71.71,931,139,14.93
Delaware,36553,26662,72.94,465,180,38.71
District of Columbia,25558,15409,60.29,289,64,22.15
Florida,543394,383793,70.63,12342,1842,14.92
Georgia,388946,274127,70.48,5237,938,17.91
Hawaii,540556,199921,36.98,142600,21101,14.8
Idaho,22720,14771,65.01,2343,528,22.54
Illinois,671811,460014,68.47,4275,840,19.65
Indiana,137680,103143,74.92,2635,534,20.27
Iowa,71178,51451,72.28,2913,745,25.58
Kansas,80738,57479,71.19,1923,445,23.14
Kentucky,59593,44093,73.99,2271,544,23.95
Louisiana,80980,52502,64.83,1401,154,10.99
Maine,14804,10328,69.76,249,19,7.63
Maryland,373065,262610,70.39,2830,562,19.86
Massachusetts,426225,290844,68.24,2253,517,22.95
Michigan,289082,208613,72.16,2808,334,11.89
Minnesota,255935,156916,61.31,1976,503,25.46
Mississippi,28859,19416,67.28,597,70,11.73
Missouri,112959,79711,70.57,6336,1594,25.16
Montana,7448,4996,67.08,571,107,18.74
Nebraska,42208,30936,73.29,1524,233,15.29
Nevada,232502,153200,65.89,19019,1852,9.74
New Hampshire,33313,24912,74.78,289,16,5.54
New Jersey,844105,593777,70.34,3013,962,31.93
New Mexico,29991,19362,64.56,1390,41,2.95
New York,1652846,1163458,70.39,7937,2368,29.83
North Carolina,269164,187129,69.52,6393,1124,17.58
North Dakota,10197,8024,78.69,341,30,8.8
Ohio,235878,171318,72.63,3499,538,15.38
Oklahoma,80670,56157,69.61,5543,1790,32.29
Oregon,166351,108841,65.43,15157,4164,27.47
Pennsylvania,417525,291773,69.88,3665,911,24.86
Rhode Island,35556,22796,64.11,759,240,31.62
South Carolina,71994,50307,69.88,3015,660,21.89
South Dakota,11693,8860,75.77,381,36,9.45
Tennessee,110605,77943,70.47,3784,394,10.41
Texas,1236852,857805,69.35,23531,4049,17.21
Utah,67545,43730,64.74,26742,6398,23.92
Vermont,9680,7372,76.16,206,37,17.96
Virginia,520119,360856,69.38,5469,702,12.84
Washington,578822,384568,66.44,46071,9221,20.01
West Virginia,14096,10288,72.99,541,121,22.37
Wisconsin,152325,91589,60.13,1811,455,25.12
Wyoming,5102,3527,69.13,470,26,5.53