State,Asian Alone Population,Asian Alone Below Poverty,Asian Alone At or Above Poverty,NHPI Alone Total,NHPI Aloone Below Poverty:,NHPI Alone at or Above Poverty
Alabama,61251,8597,52654,2172,334,1838
Alaska,45008,4673,40335,8779,1312,7467
Arizona,209129,27329,181800,12220,2646,9574
Arkansas,41569,5909,35660,6975,2031,4944
California,5424139,607792,4816347,148186,21470,126716
Colorado,161458,18258,143200,8169,1271,6898
Connecticut,151478,12665,138813,885,217,668
Delaware,36026,2983,33043,447,31,416
District of Columbia,23506,3697,19809,276,30,246
Florida,536922,67789,469133,12093,3035,9058
Georgia,379132,44981,334151,5078,1219,3859
Hawaii,532027,35409,496618,139062,31303,107759
Idaho,22267,3614,18653,2232,718,1514
Illinois,658612,75018,583594,4066,501,3565
Indiana,130256,25913,104343,2511,615,1896
Iowa,68856,12637,56219,2823,770,2053
Kansas,78789,12201,66588,1747,482,1265
Kentucky,58254,9370,48884,2159,473,1686
Louisiana,79667,12672,66995,1320,264,1056
Maine,13865,1848,12017,245,76,169
Maryland,367574,28866,338708,2612,246,2366
Massachusetts,404383,57089,347294,2049,293,1756
Michigan,281622,40221,241401,2647,564,2083
Minnesota,250763,38632,212131,1832,365,1467
Mississippi,27979,3673,24306,550,127,423
Missouri,109605,18068,91537,5986,2015,3971
Montana,7140,1228,5912,529,74,455
Nebraska,40697,7868,32829,1403,269,1134
Nevada,231134,22099,209035,18583,3512,15071
New Hampshire,31750,3492,28258,231,32,199
New Jersey,830031,55685,774346,2794,762,2032
New Mexico,29231,2896,26335,1299,275,1024
New York,1619418,272582,1346836,7571,1570,6001
North Carolina,262596,33282,229314,5886,1097,4789
North Dakota,9906,1996,7910,325,93,232
Ohio,229147,31305,197842,3351,814,2537
Oklahoma,77872,12408,65464,5294,991,4303
Oregon,162923,25396,137527,14678,3868,10810
Pennsylvania,402807,61638,341169,3531,964,2567
Rhode Island,33385,4825,28560,710,101,609
South Carolina,69794,10369,59425,2775,636,2139
South Dakota,11404,2637,8767,351,92,259
Tennessee,108195,11605,96590,3620,1182,2438
Texas,1222283,130111,1092172,22763,3449,19314
Utah,66018,9914,56104,26325,4035,22290
Vermont,8842,1184,7658,201,10,191
Virginia,511014,38579,472435,5036,266,4770
Washington,570724,60422,510302,45057,7918,37139
West Virginia,13684,2060,11624,489,95,394
Wisconsin,148224,26682,121542,1772,404,1368
Wyoming,4867,1050,3817,423,27,396