State,Total Population,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,Chinese except Taiwanese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Other Asian not specified,Other Asian specified,Pakistani,Sri Lankan,Taiwanese,Thai,Vietnamese
Alabama,4850771,13412,,,,,15285,10575,,,4978,14352,2023,,,,,3780,,,,,2606,10395
Alaska,738565,,,,,,4285,32773,4220,,4337,6978,,,,,,,,,,,,
Arizona,6809946,56540,,,2941,3534,51430,63859,,,22926,22320,3107,,,,,10234,,2664,,1737,6947,33288
Arkansas,2977944,10990,,,,,8101,7966,,,2491,3677,5278,,,,,,,1700,,,1447,6568
California,38982847,769334,11433,,20414,116822,1662717,1603009,99032,46489,461744,535813,81756,7350,7182,13158,1499,132074,1769,66936,13323,76092,74728,728407
Colorado,5436519,31536,,,,2910,41337,29481,4767,,24358,30925,3542,,,4922,,9001,,2299,,1483,6771,27818
Connecticut,3594478,61708,,,,3415,43596,18542,,,6746,13570,3863,,,,,8173,,6878,,1407,1973,11558
Delaware,943732,15995,,,,,9611,6192,,,1370,3044,,,,,,,,,,,,
District of Columbia,672391,8029,,,,,8738,4530,,,2594,3598,,,,,,1390,,,,,,2274
Florida,20278447,173421,5559,,,7470,123034,143388,,4118,31833,40530,7307,,,,,31093,,20559,,4182,20035,81075
Georgia,10201635,139084,3369,,5484,6008,64929,36248,3904,3283,17197,66788,7580,,,,,17256,,14893,,3255,6874,59435
Hawaii,1421658,4819,,,,,200323,364147,,,314601,49339,,,,,7423,2592,,,,841,4117,15501
Idaho,1657375,3382,,,,,7956,8414,,,6448,2725,,,,,,,,,,,,2022
Illinois,12854526,245334,,,4405,4873,142521,153431,,1905,32327,71291,7534,,,3396,,24232,,36266,,5958,11263,33316
Indiana,6614418,41108,,,11544,,37062,22263,,,10121,14862,,,,,,7125,,4715,,1012,4350,10364
Iowa,3118102,15102,,,6218,,15834,8585,,,3601,9153,6348,,,,,,,,,,2879,11249
Kansas,2903820,18939,,,2300,,15542,10591,1928,,5375,8142,6179,,,,,3112,,2342,,,3311,17620
Kentucky,4424376,15939,,,2906,,10967,10032,,,7271,7680,,,,3279,,3907,,,,,,7195
Louisiana,4663461,12877,,,,,14723,11985,,,3367,5465,2081,,,,,3834,,,,,1844,35475
Maine,1330158,2458,,,,1933,5152,4207,,,1452,2335,,,,,,,,,,,,2105
Maryland,5996079,102478,4160,,6818,4061,94499,66207,,3104,16044,59703,,,,6533,,13542,,22005,3869,4240,6941,29891
Massachusetts,6789319,106717,3322,,,32895,173915,22676,,2295,19055,31387,4493,819,,6395,,14882,,8883,1751,5280,4522,53763
Michigan,9925568,109285,11112,,3376,,63380,39256,6236,1277,19764,33895,4513,,,,,17859,,11975,,3130,3522,18913
Minnesota,5490726,47103,,,12328,10311,36796,20084,78123,,9715,24614,13524,,,,,8485,,2984,,,4866,32082
Mississippi,2986220,7004,,,,,5650,6548,,,2520,2874,,,,,,,,,,,,7417
Missouri,6075300,29693,,,,,28678,22067,,,8345,14700,,,,,,6975,,5028,,,2909,18662
Montana,1029862,,,,,,2332,4024,,,2069,2048,,,,,,,,,,,,
Nebraska,1893921,8310,,,4952,,7644,4974,,,3719,4631,,,,,,2868,,,,,,9012
Nevada,2887725,15235,,,,,46627,155246,,,24304,20797,,,,,,5484,,,,,9161,15414
New Hampshire,1331848,10882,,,,,8513,4383,,,2132,3856,,,,2259,,1382,,,,,,2920
New Jersey,8960161,384072,12343,,,,168323,136721,,2619,21115,104899,,,,,,22225,,31431,2498,8027,4649,26400
New Mexico,2084828,8004,,,,,8375,10125,,,5996,4091,,,,,,2785,,,,,1434,5526
New York,19798228,409834,77143,,16338,6534,738971,143733,,6340,55676,146004,4616,4023,,14308,,66299,,88024,7154,16949,14824,38135
North Carolina,10052564,91293,,,5867,5072,51946,36868,12399,1345,15070,27921,7744,,,5402,,13047,,7724,,2156,5029,38737
North Dakota,745475,1930,,,,,2551,3263,,,,,,,,,,,,,,,,
Ohio,11609756,85981,,,,6590,60974,31384,,,19276,23347,4943,,,9230,,14795,,5641,,3255,4506,18754
Oklahoma,3896251,15755,,,3520,,14647,12631,3580,,7835,10590,1975,,,,,5681,,2409,,,2067,22908
Oregon,4025127,26645,,,,5548,51952,36528,,2241,31088,22859,5983,,,,,5906,,,,,4145,34500
Pennsylvania,12790505,133355,4702,2258,,15762,120878,42669,,3456,15259,50354,3557,,,8306,,17949,,13182,,3052,4578,50361
Puerto Rico,3468963,5667,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1056138,7458,,,,6664,10035,3972,,,1827,2508,2955,,,,,,,,,,,2563
South Carolina,4893444,18505,,,,,17989,18443,,,5520,9326,,,,,,4503,,,,,2587,8690
South Dakota,855444,,,,2166,,2412,2475,,,,1547,,,,,,,,,,,,1141
Tennessee,6597381,31322,,,,,22004,18140,,,9373,14991,8102,,,,,7741,,,,,2659,13287
Texas,27419612,376540,10837,,16812,18330,222384,178197,,7327,49037,94471,17805,2286,,17891,,47091,,75787,4843,14886,21863,276162
Utah,2993941,10514,,,,2816,21666,14327,,,15621,8779,3959,,,,,3217,,,,,2924,10455
Vermont,624636,1834,,,,,3036,1258,,,781,1614,,,,,,,,,,,,
Virginia,8365952,141456,8863,,,9599,90071,106650,,2470,26340,88762,4500,,,8699,,28403,,36497,,4068,12522,68037
Washington,7169967,104994,,,,27110,153800,156774,2191,6437,80362,88919,11837,,,,,14016,,6046,,8727,12419,86578
West Virginia,1836843,4336,,,,,3596,3908,,,1304,1691,,,,,,,,,,,,
Wisconsin,5763217,32348,,,,,27079,15770,58140,,7178,12247,4857,,,,,5347,,3234,,,2267,6991
Wyoming,583200,,,,,,,2925,,,,,,,,,,,,,,,,
